",""values"",""white_win"",""white_win_top"",""white_win_bottom"",""black_win"",""black_win_top"",""black_win_bottom"",""draw"",""draw_bottom"",""draw_top"""
"1,""Caro-Kann Defense"",0.545454545454545,0.672727272727273,0.418181818181818,0.4,0.527272727272727,0.272727272727273,0.0545454545454545,0,0.127272727272727"
"2,""English Opening"",0.532467532467532,0.649350649350649,0.415584415584416,0.376623376623377,0.493506493506494,0.272727272727273,0.0909090909090909,0.025974025974026,0.168831168831169"
"3,""French Defense"",0.509933774834437,0.589403973509934,0.430631821660964,0.423841059602649,0.496688741721854,0.350993377483444,0.0662251655629139,0.0264900662251656,0.105960264900662"
"4,""Italian Game"",0.5,0.611111111111111,0.4,0.422222222222222,0.522222222222222,0.322222222222222,0.0777777777777778,0.0222222222222222,0.144162165879939"
"5,""King's Pawn Game"",0.521276595744681,0.617021276595745,0.414893617021277,0.436170212765957,0.531914893617021,0.33005750075325,0.0425531914893617,0.0106382978723404,0.0851063829787234"
"6,""Philidor Defense"",0.45,0.583333333333333,0.316666666666667,0.516666666666667,0.65,0.383333333333333,0.0333333333333333,0,0.0833333333333333"
"7,""Queen's Pawn Game"",0.491666666666667,0.583333333333333,0.4,0.475,0.558333333333333,0.383333333333333,0.0333333333333333,0.00833333333333333,0.075"
"8,""Ruy Lopez"",0.526315789473684,0.631578947368421,0.421052631578947,0.442105263157895,0.557894736842105,0.336842105263158,0.0315789473684211,0,0.0736842105263158"
"9,""Scandinavian Defense"",0.491525423728814,0.610169491525424,0.356362797810263,0.474576271186441,0.610169491525424,0.355932203389831,0.0338983050847458,0,0.0847457627118644"
"10,""Sicilian Defense"",0.431297709923664,0.49236641221374,0.370229007633588,0.511450381679389,0.572519083969466,0.446564885496183,0.0572519083969466,0.0267175572519084,0.0877862595419847"
